Adam,Adam w/o bias correction
tensor(95.6833),tensor(95.8883)
tensor(98.3667),tensor(98.3217)
tensor(98.7717),tensor(98.5700)
tensor(98.9783),tensor(98.7333)
tensor(99.0883),tensor(98.8717)
tensor(99.2467),tensor(98.9450)
tensor(99.3250),tensor(99.0033)
tensor(99.3700),tensor(99.0967)
tensor(99.4233),tensor(99.1533)
tensor(99.4317),tensor(99.1917)
tensor(99.5317),tensor(99.1917)
tensor(99.5483),tensor(99.3217)
tensor(99.5433),tensor(99.2533)
tensor(99.5717),tensor(99.2267)
tensor(99.6717),tensor(99.3183)
tensor(99.6100),tensor(99.2067)
tensor(99.6400),tensor(99.3183)
tensor(99.6333),tensor(99.3283)
tensor(99.6183),tensor(99.3917)
tensor(99.6733),tensor(99.3350)
tensor(99.7400),tensor(99.3217)
tensor(99.6983),tensor(99.4133)
tensor(99.7467),tensor(99.4250)
tensor(99.7200),tensor(99.3667)
tensor(99.6583),tensor(99.4167)
tensor(99.7450),tensor(99.4317)
tensor(99.7267),tensor(99.4183)
tensor(99.7333),tensor(99.4583)
tensor(99.7900),tensor(99.5117)
tensor(99.7483),tensor(99.4383)
tensor(99.7483),tensor(99.4583)
tensor(99.6950),tensor(99.5183)
tensor(99.7933),tensor(99.5567)
tensor(99.8583),tensor(99.4817)
tensor(99.7200),tensor(99.5167)
tensor(99.7700),tensor(99.4983)
tensor(99.7600),tensor(99.5500)
tensor(99.7417),tensor(99.5233)
tensor(99.8217),tensor(99.5017)
tensor(99.8150),tensor(99.5383)
tensor(99.8250),tensor(99.5533)
tensor(99.7950),tensor(99.6133)
tensor(99.7767),tensor(99.5283)
tensor(99.8200),tensor(99.5583)
tensor(99.8050),tensor(99.5483)
tensor(99.7917),tensor(99.5917)
tensor(99.8250),tensor(99.5667)
tensor(99.8183),tensor(99.5700)
tensor(99.7883),tensor(99.5250)
tensor(99.8500),tensor(99.6300)
tensor(99.8867),tensor(99.6267)
tensor(99.8400),tensor(99.5900)
tensor(99.8083),tensor(99.5450)
tensor(99.8467),tensor(99.6433)
tensor(99.8367),tensor(99.6217)
tensor(99.8317),tensor(99.6517)
tensor(99.8733),tensor(99.6983)
tensor(99.8433),tensor(99.5733)
tensor(99.8533),tensor(99.5633)
tensor(99.8233),tensor(99.7350)
tensor(99.9067),tensor(99.6633)
tensor(99.8250),tensor(99.6183)
tensor(99.8600),tensor(99.6317)
tensor(99.8917),tensor(99.6067)
tensor(99.8750),tensor(99.6883)
tensor(99.8650),tensor(99.6633)
tensor(99.8850),tensor(99.6583)
tensor(99.8800),tensor(99.6650)
tensor(99.8433),tensor(99.6167)
tensor(99.8700),tensor(99.7017)
tensor(99.8950),tensor(99.6950)
tensor(99.8817),tensor(99.6117)
tensor(99.8833),tensor(99.6983)
tensor(99.9233),tensor(99.7333)
tensor(99.8367),tensor(99.6850)
tensor(99.9050),tensor(99.6900)
tensor(99.8467),tensor(99.6683)
tensor(99.9217),tensor(99.6833)
tensor(99.9233),tensor(99.7183)
tensor(99.8783),tensor(99.6950)
tensor(99.8550),tensor(99.7283)
tensor(99.8867),tensor(99.7050)
tensor(99.9133),tensor(99.7333)
tensor(99.8967),tensor(99.7200)
tensor(99.8983),tensor(99.7167)
tensor(99.8917),tensor(99.7333)
tensor(99.9067),tensor(99.6650)
tensor(99.9017),tensor(99.7067)
tensor(99.9150),tensor(99.6917)
tensor(99.9017),tensor(99.7333)
tensor(99.8917),tensor(99.7367)
tensor(99.8783),tensor(99.7567)
tensor(99.9083),tensor(99.7200)
tensor(99.9100),tensor(99.7300)
tensor(99.9133),tensor(99.7300)
tensor(99.8800),tensor(99.7317)
tensor(99.9167),tensor(99.7650)
tensor(99.9033),tensor(99.7433)
tensor(99.9233),tensor(99.7317)
tensor(99.9183),tensor(99.7817)
