Adam,Adam w/o bias correction
tensor(83.6783),tensor(90.7817)
tensor(94.7833),tensor(96.1417)
tensor(96.3050),tensor(97.0100)
tensor(96.9700),tensor(97.4383)
tensor(97.3900),tensor(97.7017)
tensor(97.6967),tensor(97.9150)
tensor(97.9533),tensor(98.1383)
tensor(98.1283),tensor(98.2517)
tensor(98.2550),tensor(98.3667)
tensor(98.3817),tensor(98.4483)
tensor(98.4833),tensor(98.5417)
tensor(98.5783),tensor(98.6283)
tensor(98.6583),tensor(98.7000)
tensor(98.7333),tensor(98.7750)
tensor(98.7783),tensor(98.8283)
tensor(98.8300),tensor(98.8633)
tensor(98.8750),tensor(98.9017)
tensor(98.9150),tensor(98.9517)
tensor(98.9517),tensor(99.0050)
tensor(98.9983),tensor(99.0400)
tensor(99.0433),tensor(99.0683)
tensor(99.0683),tensor(99.1067)
tensor(99.1100),tensor(99.1383)
tensor(99.1483),tensor(99.1833)
tensor(99.1867),tensor(99.2050)
tensor(99.2133),tensor(99.2450)
tensor(99.2517),tensor(99.2717)
tensor(99.2750),tensor(99.2967)
tensor(99.3117),tensor(99.3233)
tensor(99.3383),tensor(99.3483)
tensor(99.3600),tensor(99.3783)
tensor(99.3850),tensor(99.4167)
tensor(99.4100),tensor(99.4400)
tensor(99.4450),tensor(99.4633)
tensor(99.4650),tensor(99.4800)
tensor(99.4933),tensor(99.4967)
tensor(99.5117),tensor(99.5250)
tensor(99.5250),tensor(99.5517)
tensor(99.5433),tensor(99.5800)
tensor(99.5617),tensor(99.6033)
tensor(99.5833),tensor(99.6233)
tensor(99.6050),tensor(99.6400)
tensor(99.6183),tensor(99.6600)
tensor(99.6450),tensor(99.6767)
tensor(99.6550),tensor(99.6933)
tensor(99.6750),tensor(99.7150)
tensor(99.6867),tensor(99.7233)
tensor(99.6983),tensor(99.7383)
tensor(99.7067),tensor(99.7550)
tensor(99.7250),tensor(99.7633)
tensor(99.7433),tensor(99.7783)
tensor(99.7533),tensor(99.7867)
tensor(99.7700),tensor(99.7983)
tensor(99.7833),tensor(99.8150)
tensor(99.7967),tensor(99.8283)
tensor(99.8183),tensor(99.8417)
tensor(99.8350),tensor(99.8550)
tensor(99.8450),tensor(99.8650)
tensor(99.8533),tensor(99.8733)
tensor(99.8600),tensor(99.8867)
tensor(99.8650),tensor(99.8900)
tensor(99.8783),tensor(99.9017)
tensor(99.8817),tensor(99.9067)
tensor(99.8917),tensor(99.9133)
tensor(99.8967),tensor(99.9200)
tensor(99.9083),tensor(99.9267)
tensor(99.9100),tensor(99.9300)
tensor(99.9133),tensor(99.9333)
tensor(99.9167),tensor(99.9383)
tensor(99.9250),tensor(99.9417)
tensor(99.9383),tensor(99.9450)
tensor(99.9450),tensor(99.9483)
tensor(99.9467),tensor(99.9517)
tensor(99.9500),tensor(99.9567)
tensor(99.9533),tensor(99.9650)
tensor(99.9550),tensor(99.9733)
tensor(99.9650),tensor(99.9750)
tensor(99.9683),tensor(99.9750)
tensor(99.9733),tensor(99.9783)
tensor(99.9750),tensor(99.9783)
tensor(99.9767),tensor(99.9800)
tensor(99.9783),tensor(99.9817)
tensor(99.9867),tensor(99.9833)
tensor(99.9883),tensor(99.9850)
tensor(99.9917),tensor(99.9850)
tensor(99.9917),tensor(99.9867)
tensor(99.9917),tensor(99.9883)
tensor(99.9917),tensor(99.9900)
tensor(99.9933),tensor(99.9900)
tensor(99.9933),tensor(99.9900)
tensor(99.9950),tensor(99.9933)
tensor(99.9950),tensor(99.9950)
tensor(99.9950),tensor(99.9950)
tensor(99.9967),tensor(99.9950)
tensor(99.9983),tensor(99.9967)
tensor(99.9983),tensor(99.9983)
tensor(99.9983),tensor(99.9983)
tensor(100.),tensor(100.)
tensor(100.),tensor(99.9583)
tensor(100.),tensor(99.9900)
