Adam,Adam w/o bias correction
tensor(76.6933),tensor(87.1950)
tensor(91.1667),tensor(93.5100)
tensor(93.4767),tensor(94.9850)
tensor(94.8133),tensor(95.8517)
tensor(95.7100),tensor(96.4083)
tensor(96.3467),tensor(96.8117)
tensor(96.7733),tensor(97.0767)
tensor(97.1400),tensor(97.2900)
tensor(97.3533),tensor(97.4850)
tensor(97.5283),tensor(97.6550)
tensor(97.7133),tensor(97.7900)
tensor(97.8683),tensor(97.9300)
tensor(97.9883),tensor(98.0400)
tensor(98.1100),tensor(98.1467)
tensor(98.2000),tensor(98.2650)
tensor(98.2733),tensor(98.3200)
tensor(98.3400),tensor(98.3850)
tensor(98.4033),tensor(98.4283)
tensor(98.4717),tensor(98.4667)
tensor(98.5433),tensor(98.5183)
tensor(98.5733),tensor(98.5667)
tensor(98.6050),tensor(98.6200)
tensor(98.6417),tensor(98.6467)
tensor(98.6733),tensor(98.6850)
tensor(98.7200),tensor(98.7250)
tensor(98.7483),tensor(98.7467)
tensor(98.7700),tensor(98.7867)
tensor(98.8050),tensor(98.8100)
tensor(98.8250),tensor(98.8233)
tensor(98.8683),tensor(98.8550)
tensor(98.9033),tensor(98.8700)
tensor(98.9367),tensor(98.8933)
tensor(98.9550),tensor(98.9200)
tensor(98.9767),tensor(98.9433)
tensor(99.0117),tensor(98.9683)
tensor(99.0433),tensor(98.9800)
tensor(99.0567),tensor(99.)
tensor(99.0767),tensor(99.0133)
tensor(99.0967),tensor(99.0367)
tensor(99.1167),tensor(99.0567)
tensor(99.1350),tensor(99.0750)
tensor(99.1550),tensor(99.0967)
tensor(99.1667),tensor(99.1117)
tensor(99.1900),tensor(99.1283)
tensor(99.2150),tensor(99.1483)
tensor(99.2267),tensor(99.1683)
tensor(99.2417),tensor(99.1800)
tensor(99.2550),tensor(99.2017)
tensor(99.2700),tensor(99.2200)
tensor(99.2850),tensor(99.2450)
tensor(99.2983),tensor(99.2683)
tensor(99.3117),tensor(99.2817)
tensor(99.3200),tensor(99.3017)
tensor(99.3283),tensor(99.3133)
tensor(99.3450),tensor(99.3350)
tensor(99.3533),tensor(99.3433)
tensor(99.3700),tensor(99.3550)
tensor(99.3850),tensor(99.3667)
tensor(99.3933),tensor(99.3850)
tensor(99.4033),tensor(99.4017)
tensor(99.4117),tensor(99.4150)
tensor(99.4250),tensor(99.4283)
tensor(99.4383),tensor(99.4350)
tensor(99.4567),tensor(99.4417)
tensor(99.4683),tensor(99.4517)
tensor(99.4750),tensor(99.4600)
tensor(99.4867),tensor(99.4683)
tensor(99.4933),tensor(99.4783)
tensor(99.5050),tensor(99.4950)
tensor(99.5100),tensor(99.5033)
tensor(99.5217),tensor(99.5150)
tensor(99.5383),tensor(99.5267)
tensor(99.5517),tensor(99.5333)
tensor(99.5617),tensor(99.5400)
tensor(99.5733),tensor(99.5483)
tensor(99.5767),tensor(99.5550)
tensor(99.5783),tensor(99.5650)
tensor(99.5933),tensor(99.5733)
tensor(99.5967),tensor(99.5817)
tensor(99.6017),tensor(99.6050)
tensor(99.6067),tensor(99.6117)
tensor(99.6167),tensor(99.6250)
tensor(99.6217),tensor(99.6300)
tensor(99.6267),tensor(99.6450)
tensor(99.6450),tensor(99.6567)
tensor(99.6517),tensor(99.6650)
tensor(99.6617),tensor(99.6700)
tensor(99.6767),tensor(99.6750)
tensor(99.6983),tensor(99.6850)
tensor(99.7033),tensor(99.6917)
tensor(99.7117),tensor(99.7000)
tensor(99.7183),tensor(99.7100)
tensor(99.7183),tensor(99.7133)
tensor(99.7233),tensor(99.7183)
tensor(99.7350),tensor(99.7233)
tensor(99.7433),tensor(99.7367)
tensor(99.7517),tensor(99.7483)
tensor(99.7533),tensor(99.7583)
tensor(99.7583),tensor(99.7700)
tensor(99.7683),tensor(99.7717)
