Adam,Adam w/o bias correction
tensor(45.3800),tensor(72.3583)
tensor(78.7083),tensor(84.8967)
tensor(84.0467),tensor(87.6767)
tensor(86.7067),tensor(89.1500)
tensor(88.4500),tensor(90.2717)
tensor(89.5567),tensor(91.1083)
tensor(90.4517),tensor(91.7450)
tensor(91.1583),tensor(92.2783)
tensor(91.7167),tensor(92.7883)
tensor(92.2183),tensor(93.2350)
tensor(92.6783),tensor(93.6533)
tensor(93.0617),tensor(93.9800)
tensor(93.4167),tensor(94.2550)
tensor(93.8033),tensor(94.5283)
tensor(94.0700),tensor(94.7783)
tensor(94.3650),tensor(95.0083)
tensor(94.6033),tensor(95.2333)
tensor(94.8300),tensor(95.4583)
tensor(95.0617),tensor(95.6667)
tensor(95.2650),tensor(95.8550)
tensor(95.4250),tensor(96.0483)
tensor(95.6050),tensor(96.1700)
tensor(95.7583),tensor(96.3083)
tensor(95.8883),tensor(96.4183)
tensor(96.0250),tensor(96.5017)
tensor(96.1700),tensor(96.6100)
tensor(96.2500),tensor(96.6967)
tensor(96.3533),tensor(96.7817)
tensor(96.4950),tensor(96.8533)
tensor(96.5800),tensor(96.9217)
tensor(96.6567),tensor(96.9833)
tensor(96.7283),tensor(97.0467)
tensor(96.7767),tensor(97.1200)
tensor(96.8383),tensor(97.1833)
tensor(96.9083),tensor(97.2517)
tensor(96.9800),tensor(97.3117)
tensor(97.0300),tensor(97.3500)
tensor(97.0933),tensor(97.4083)
tensor(97.1400),tensor(97.4550)
tensor(97.1950),tensor(97.4983)
tensor(97.2550),tensor(97.5483)
tensor(97.3233),tensor(97.5867)
tensor(97.3783),tensor(97.6133)
tensor(97.4250),tensor(97.6450)
tensor(97.4683),tensor(97.6800)
tensor(97.5050),tensor(97.7067)
tensor(97.5567),tensor(97.7450)
tensor(97.5900),tensor(97.7650)
tensor(97.6383),tensor(97.7883)
tensor(97.6783),tensor(97.8167)
tensor(97.7133),tensor(97.8483)
tensor(97.7567),tensor(97.8767)
tensor(97.7850),tensor(97.8933)
tensor(97.8050),tensor(97.9300)
tensor(97.8233),tensor(97.9633)
tensor(97.8600),tensor(97.9800)
tensor(97.8800),tensor(98.0067)
tensor(97.8950),tensor(98.0233)
tensor(97.9333),tensor(98.0433)
tensor(97.9667),tensor(98.0800)
tensor(97.9767),tensor(98.1017)
tensor(97.9983),tensor(98.1300)
tensor(98.0150),tensor(98.1500)
tensor(98.0317),tensor(98.1683)
tensor(98.0533),tensor(98.1983)
tensor(98.0800),tensor(98.2150)
tensor(98.1133),tensor(98.2317)
tensor(98.1333),tensor(98.2567)
tensor(98.1617),tensor(98.2783)
tensor(98.1767),tensor(98.3017)
tensor(98.2083),tensor(98.3083)
tensor(98.2317),tensor(98.3250)
tensor(98.2483),tensor(98.3383)
tensor(98.2667),tensor(98.3583)
tensor(98.2850),tensor(98.3683)
tensor(98.2950),tensor(98.3833)
tensor(98.3050),tensor(98.3900)
tensor(98.3233),tensor(98.4017)
tensor(98.3383),tensor(98.4117)
tensor(98.3500),tensor(98.4250)
tensor(98.3567),tensor(98.4333)
tensor(98.3717),tensor(98.4400)
tensor(98.3883),tensor(98.4567)
tensor(98.3950),tensor(98.4733)
tensor(98.4067),tensor(98.4833)
tensor(98.4267),tensor(98.4967)
tensor(98.4517),tensor(98.5117)
tensor(98.4633),tensor(98.5183)
tensor(98.4833),tensor(98.5317)
tensor(98.4883),tensor(98.5450)
tensor(98.4967),tensor(98.5617)
tensor(98.5050),tensor(98.5850)
tensor(98.5200),tensor(98.6000)
tensor(98.5350),tensor(98.6200)
tensor(98.5450),tensor(98.6250)
tensor(98.5500),tensor(98.6350)
tensor(98.5650),tensor(98.6467)
tensor(98.5733),tensor(98.6550)
tensor(98.5883),tensor(98.6650)
tensor(98.5983),tensor(98.6700)
