Adam,Adam w/o bias correction
tensor(83.3600),tensor(90.3233)
tensor(93.7650),tensor(95.5767)
tensor(95.8400),tensor(96.6400)
tensor(96.7933),tensor(97.1967)
tensor(97.2767),tensor(97.5233)
tensor(97.6300),tensor(97.7850)
tensor(97.8817),tensor(97.9817)
tensor(98.0517),tensor(98.1383)
tensor(98.2183),tensor(98.2683)
tensor(98.3500),tensor(98.3933)
tensor(98.4550),tensor(98.5050)
tensor(98.5400),tensor(98.5717)
tensor(98.6033),tensor(98.6467)
tensor(98.6800),tensor(98.7300)
tensor(98.7233),tensor(98.7983)
tensor(98.7783),tensor(98.8717)
tensor(98.8433),tensor(98.9250)
tensor(98.9050),tensor(98.9600)
tensor(98.9400),tensor(99.0100)
tensor(98.9783),tensor(99.0417)
tensor(99.0267),tensor(99.0867)
tensor(99.0733),tensor(99.1183)
tensor(99.1067),tensor(99.1517)
tensor(99.1300),tensor(99.1800)
tensor(99.1650),tensor(99.2083)
tensor(99.1983),tensor(99.2317)
tensor(99.2183),tensor(99.2533)
tensor(99.2483),tensor(99.3000)
tensor(99.2667),tensor(99.3367)
tensor(99.2867),tensor(99.3567)
tensor(99.3100),tensor(99.3867)
tensor(99.3483),tensor(99.3967)
tensor(99.3767),tensor(99.4300)
tensor(99.3950),tensor(99.4567)
tensor(99.4217),tensor(99.4750)
tensor(99.4283),tensor(99.4950)
tensor(99.4450),tensor(99.5133)
tensor(99.4783),tensor(99.5367)
tensor(99.5067),tensor(99.5650)
tensor(99.5283),tensor(99.5783)
tensor(99.5417),tensor(99.5933)
tensor(99.5717),tensor(99.6067)
tensor(99.5867),tensor(99.6233)
tensor(99.6000),tensor(99.6500)
tensor(99.6267),tensor(99.6633)
tensor(99.6433),tensor(99.6850)
tensor(99.6633),tensor(99.7017)
tensor(99.6750),tensor(99.7183)
tensor(99.6917),tensor(99.7317)
tensor(99.7000),tensor(99.7517)
tensor(99.7200),tensor(99.7683)
tensor(99.7467),tensor(99.7883)
tensor(99.7683),tensor(99.8117)
tensor(99.7783),tensor(99.8317)
tensor(99.7917),tensor(99.8400)
tensor(99.8083),tensor(99.8517)
tensor(99.8233),tensor(99.8600)
tensor(99.8317),tensor(99.8667)
tensor(99.8417),tensor(99.8750)
tensor(99.8500),tensor(99.8800)
tensor(99.8550),tensor(99.8850)
tensor(99.8683),tensor(99.8900)
tensor(99.8750),tensor(99.8967)
tensor(99.8817),tensor(99.9067)
tensor(99.8850),tensor(99.9133)
tensor(99.9017),tensor(99.9233)
tensor(99.9083),tensor(99.9300)
tensor(99.9150),tensor(99.9367)
tensor(99.9167),tensor(99.9367)
tensor(99.9183),tensor(99.9400)
tensor(99.9233),tensor(99.9417)
tensor(99.9317),tensor(99.9450)
tensor(99.9383),tensor(99.9517)
tensor(99.9467),tensor(99.9567)
tensor(99.9517),tensor(99.9583)
tensor(99.9550),tensor(99.9633)
tensor(99.9567),tensor(99.9667)
tensor(99.9583),tensor(99.9717)
tensor(99.9617),tensor(99.9750)
tensor(99.9633),tensor(99.9783)
tensor(99.9633),tensor(99.9800)
tensor(99.9683),tensor(99.9817)
tensor(99.9700),tensor(99.9850)
tensor(99.9683),tensor(99.9850)
tensor(99.9717),tensor(99.9883)
tensor(99.9733),tensor(99.9883)
tensor(99.9767),tensor(99.9900)
tensor(99.9800),tensor(99.9917)
tensor(99.9800),tensor(99.9950)
tensor(99.9800),tensor(99.9933)
tensor(99.9833),tensor(99.9950)
tensor(99.9850),tensor(99.9933)
tensor(99.9867),tensor(99.9950)
tensor(99.9900),tensor(99.9950)
tensor(99.9917),tensor(99.9000)
tensor(99.9933),tensor(99.9767)
tensor(99.9950),tensor(99.9950)
tensor(99.9750),tensor(100.)
tensor(99.9383),tensor(99.9983)
tensor(99.9917),tensor(99.9983)
