Adam,Adam w/o bias correction
tensor(92.1333),tensor(93.8950)
tensor(97.8067),tensor(98.4167)
tensor(98.4400),tensor(98.8317)
tensor(98.7733),tensor(99.0950)
tensor(98.9933),tensor(99.2900)
tensor(99.1617),tensor(99.4483)
tensor(99.2517),tensor(99.5967)
tensor(99.3267),tensor(99.6417)
tensor(99.4250),tensor(99.6133)
tensor(99.6117),tensor(99.6100)
tensor(99.6500),tensor(99.6383)
tensor(99.7183),tensor(99.6433)
tensor(99.6750),tensor(99.7583)
tensor(99.6300),tensor(99.8250)
tensor(99.7067),tensor(99.8217)
tensor(99.6700),tensor(99.8233)
tensor(99.7500),tensor(99.8650)
tensor(99.7800),tensor(99.8367)
tensor(99.8283),tensor(99.8300)
tensor(99.8450),tensor(99.8600)
tensor(99.8500),tensor(99.8650)
tensor(99.8233),tensor(99.8883)
tensor(99.8283),tensor(99.9017)
tensor(99.8400),tensor(99.8983)
tensor(99.8583),tensor(99.8867)
tensor(99.8867),tensor(99.9367)
tensor(99.9000),tensor(99.8850)
tensor(99.9017),tensor(99.9467)
tensor(99.9167),tensor(99.9533)
tensor(99.9350),tensor(99.9500)
tensor(99.9383),tensor(99.9633)
tensor(99.9400),tensor(99.9483)
tensor(99.9217),tensor(99.9267)
tensor(99.9083),tensor(99.9483)
tensor(99.9017),tensor(99.9383)
tensor(99.9383),tensor(99.9433)
tensor(99.9617),tensor(99.9633)
tensor(99.9417),tensor(99.9917)
tensor(99.9583),tensor(99.9950)
tensor(99.9533),tensor(99.9317)
tensor(99.9333),tensor(99.9500)
tensor(99.9433),tensor(99.9617)
tensor(99.9717),tensor(99.9733)
tensor(99.9433),tensor(99.9833)
tensor(99.9500),tensor(99.9350)
tensor(99.9850),tensor(99.9617)
tensor(99.9783),tensor(99.9633)
tensor(99.9583),tensor(99.9767)
tensor(99.9433),tensor(99.9917)
tensor(99.9383),tensor(99.9900)
tensor(99.9467),tensor(99.9633)
tensor(99.9667),tensor(99.9750)
tensor(99.9817),tensor(99.9717)
tensor(99.9783),tensor(99.9800)
tensor(99.9617),tensor(99.9867)
tensor(99.9167),tensor(99.9900)
tensor(99.9783),tensor(99.9550)
tensor(99.9967),tensor(99.9467)
tensor(100.),tensor(99.9700)
tensor(99.9950),tensor(99.9533)
tensor(99.9467),tensor(99.9517)
tensor(99.9383),tensor(99.9967)
tensor(99.9667),tensor(99.9950)
tensor(99.9617),tensor(100.)
tensor(99.9933),tensor(100.)
tensor(99.9733),tensor(100.)
tensor(99.9767),tensor(100.)
tensor(99.9867),tensor(100.)
tensor(99.9417),tensor(100.)
tensor(99.9633),tensor(100.)
tensor(99.9717),tensor(100.)
tensor(99.9800),tensor(100.)
tensor(99.9400),tensor(100.)
tensor(99.9833),tensor(100.)
tensor(99.9783),tensor(100.)
tensor(99.9567),tensor(100.)
tensor(99.9683),tensor(100.)
tensor(99.9667),tensor(100.)
tensor(99.9783),tensor(100.)
tensor(99.9833),tensor(100.)
tensor(99.9950),tensor(100.)
tensor(99.9733),tensor(100.)
tensor(99.9600),tensor(100.)
tensor(99.9417),tensor(100.)
tensor(99.9717),tensor(100.)
tensor(99.9867),tensor(100.)
tensor(99.9900),tensor(100.)
tensor(99.9533),tensor(100.)
tensor(99.9700),tensor(100.)
tensor(99.9800),tensor(100.)
tensor(99.9833),tensor(100.)
tensor(99.9883),tensor(100.)
tensor(99.9600),tensor(100.)
tensor(99.9750),tensor(100.)
tensor(99.9817),tensor(100.)
tensor(99.9817),tensor(100.)
tensor(99.9917),tensor(100.)
tensor(99.9567),tensor(99.8967)
tensor(99.9817),tensor(99.9700)
tensor(99.9800),tensor(99.9833)
