Adam,Adam w/o bias correction
tensor(94.1700),tensor(96.3817)
tensor(97.9950),tensor(98.6183)
tensor(98.5750),tensor(99.0233)
tensor(98.8817),tensor(99.2767)
tensor(99.1417),tensor(99.4567)
tensor(99.3517),tensor(99.5983)
tensor(99.4650),tensor(99.6750)
tensor(99.5667),tensor(99.7767)
tensor(99.6800),tensor(99.8167)
tensor(99.6667),tensor(99.7717)
tensor(99.7050),tensor(99.8633)
tensor(99.7317),tensor(99.8467)
tensor(99.8100),tensor(99.8717)
tensor(99.7933),tensor(99.8483)
tensor(99.8250),tensor(99.8600)
tensor(99.7933),tensor(99.8733)
tensor(99.7917),tensor(99.9367)
tensor(99.8250),tensor(99.9667)
tensor(99.8717),tensor(99.8583)
tensor(99.8817),tensor(99.9417)
tensor(99.8433),tensor(99.8817)
tensor(99.8933),tensor(99.9267)
tensor(99.8483),tensor(99.9350)
tensor(99.9067),tensor(99.9567)
tensor(99.9000),tensor(99.9267)
tensor(99.9367),tensor(99.8900)
tensor(99.8983),tensor(99.9633)
tensor(99.8850),tensor(99.9150)
tensor(99.9233),tensor(99.9350)
tensor(99.9433),tensor(99.9433)
tensor(99.8617),tensor(99.9383)
tensor(99.9117),tensor(99.9400)
tensor(99.9433),tensor(99.9267)
tensor(99.8817),tensor(99.9250)
tensor(99.9317),tensor(99.9533)
tensor(99.9217),tensor(99.9233)
tensor(99.9517),tensor(99.9217)
tensor(99.9333),tensor(99.9733)
tensor(99.9250),tensor(99.9967)
tensor(99.9033),tensor(100.)
tensor(99.9467),tensor(100.)
tensor(99.9250),tensor(100.)
tensor(99.9417),tensor(100.)
tensor(99.9800),tensor(100.)
tensor(99.8950),tensor(100.)
tensor(99.9450),tensor(100.)
tensor(99.9533),tensor(100.)
tensor(99.9383),tensor(100.)
tensor(99.9483),tensor(100.)
tensor(99.9167),tensor(100.)
tensor(99.9633),tensor(100.)
tensor(99.9933),tensor(100.)
tensor(99.9783),tensor(100.)
tensor(99.8683),tensor(100.)
tensor(99.9700),tensor(100.)
tensor(99.9650),tensor(100.)
tensor(99.9600),tensor(100.)
tensor(99.9233),tensor(100.)
tensor(99.9750),tensor(100.)
tensor(99.9717),tensor(100.)
tensor(99.9617),tensor(100.)
tensor(99.9367),tensor(100.)
tensor(99.9500),tensor(100.)
tensor(99.9633),tensor(100.)
tensor(99.9533),tensor(99.9500)
tensor(99.9217),tensor(99.8483)
tensor(99.9650),tensor(99.9600)
tensor(99.9950),tensor(99.9617)
tensor(99.9283),tensor(99.9767)
tensor(99.9367),tensor(99.9383)
tensor(99.9400),tensor(99.9550)
tensor(99.9633),tensor(99.9683)
tensor(99.9667),tensor(99.9217)
tensor(99.9683),tensor(99.9533)
tensor(99.9417),tensor(99.9850)
tensor(99.9483),tensor(99.9400)
tensor(99.9817),tensor(99.9283)
tensor(99.9867),tensor(99.9550)
tensor(99.9333),tensor(99.9817)
tensor(99.9483),tensor(99.9333)
tensor(99.9983),tensor(99.9367)
tensor(99.9867),tensor(99.9683)
tensor(99.9200),tensor(99.9717)
tensor(99.9567),tensor(99.9433)
tensor(99.9700),tensor(99.9800)
tensor(99.9850),tensor(99.9617)
tensor(99.9700),tensor(99.9450)
tensor(99.9900),tensor(99.9483)
tensor(99.9467),tensor(99.9917)
tensor(99.9600),tensor(99.9383)
tensor(99.9767),tensor(99.9583)
tensor(99.9850),tensor(99.9700)
tensor(99.9483),tensor(99.9433)
tensor(99.9317),tensor(99.9867)
tensor(99.9817),tensor(99.9950)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
