Adam,Adam w/o bias correction
tensor(81.6150),tensor(83.8783)
tensor(93.5233),tensor(94.7500)
tensor(95.4733),tensor(96.3300)
tensor(96.4750),tensor(97.0150)
tensor(96.9917),tensor(97.3900)
tensor(97.3950),tensor(97.6900)
tensor(97.7200),tensor(97.9483)
tensor(97.9383),tensor(98.1200)
tensor(98.1100),tensor(98.2550)
tensor(98.2333),tensor(98.3700)
tensor(98.3667),tensor(98.4633)
tensor(98.4833),tensor(98.5650)
tensor(98.5767),tensor(98.6533)
tensor(98.6467),tensor(98.7183)
tensor(98.7233),tensor(98.7667)
tensor(98.7750),tensor(98.8333)
tensor(98.8283),tensor(98.8933)
tensor(98.8750),tensor(98.9267)
tensor(98.9167),tensor(98.9667)
tensor(98.9567),tensor(99.0033)
tensor(98.9867),tensor(99.0333)
tensor(99.0217),tensor(99.0733)
tensor(99.0567),tensor(99.1083)
tensor(99.0950),tensor(99.1283)
tensor(99.1350),tensor(99.1500)
tensor(99.1683),tensor(99.1800)
tensor(99.2000),tensor(99.2050)
tensor(99.2300),tensor(99.2500)
tensor(99.2550),tensor(99.2717)
tensor(99.2850),tensor(99.3050)
tensor(99.3250),tensor(99.3333)
tensor(99.3533),tensor(99.3633)
tensor(99.3800),tensor(99.3867)
tensor(99.4033),tensor(99.4050)
tensor(99.4233),tensor(99.4300)
tensor(99.4450),tensor(99.4533)
tensor(99.4717),tensor(99.4783)
tensor(99.4867),tensor(99.5067)
tensor(99.4933),tensor(99.5250)
tensor(99.5133),tensor(99.5483)
tensor(99.5333),tensor(99.5600)
tensor(99.5567),tensor(99.5867)
tensor(99.5733),tensor(99.6083)
tensor(99.5833),tensor(99.6383)
tensor(99.5967),tensor(99.6500)
tensor(99.6133),tensor(99.6683)
tensor(99.6467),tensor(99.6833)
tensor(99.6650),tensor(99.6967)
tensor(99.6783),tensor(99.7167)
tensor(99.6883),tensor(99.7267)
tensor(99.7117),tensor(99.7367)
tensor(99.7300),tensor(99.7500)
tensor(99.7367),tensor(99.7633)
tensor(99.7467),tensor(99.7767)
tensor(99.7533),tensor(99.7883)
tensor(99.7600),tensor(99.7933)
tensor(99.7700),tensor(99.8033)
tensor(99.7850),tensor(99.8100)
tensor(99.7967),tensor(99.8250)
tensor(99.8050),tensor(99.8383)
tensor(99.8100),tensor(99.8433)
tensor(99.8150),tensor(99.8517)
tensor(99.8333),tensor(99.8567)
tensor(99.8483),tensor(99.8633)
tensor(99.8500),tensor(99.8667)
tensor(99.8600),tensor(99.8700)
tensor(99.8667),tensor(99.8783)
tensor(99.8733),tensor(99.8817)
tensor(99.8783),tensor(99.8817)
tensor(99.8833),tensor(99.8850)
tensor(99.8833),tensor(99.8933)
tensor(99.8883),tensor(99.8967)
tensor(99.8917),tensor(99.9000)
tensor(99.9033),tensor(99.8967)
tensor(99.9050),tensor(99.9017)
tensor(99.9100),tensor(99.9033)
tensor(99.9150),tensor(99.9067)
tensor(99.9083),tensor(99.9117)
tensor(99.9150),tensor(99.9150)
tensor(99.9017),tensor(99.9000)
tensor(99.8950),tensor(99.8700)
tensor(99.8917),tensor(99.8417)
tensor(99.8717),tensor(99.8067)
tensor(99.8700),tensor(99.7817)
tensor(99.8733),tensor(99.7967)
tensor(99.8867),tensor(99.8533)
tensor(99.8917),tensor(99.8767)
tensor(99.8883),tensor(99.9100)
tensor(99.8950),tensor(99.9217)
tensor(99.9000),tensor(99.9383)
tensor(99.9017),tensor(99.9467)
tensor(99.9017),tensor(99.9583)
tensor(99.9150),tensor(99.9633)
tensor(99.9150),tensor(99.9650)
tensor(99.9233),tensor(99.9667)
tensor(99.9217),tensor(99.9700)
tensor(99.9417),tensor(99.9767)
tensor(99.9517),tensor(99.9783)
tensor(99.9417),tensor(99.9800)
tensor(99.9367),tensor(99.9833)
