Adam,AdamW
tensor(88.3483),tensor(95.1017)
tensor(90.3917),tensor(98.1900)
tensor(90.5283),tensor(98.6267)
tensor(90.6500),tensor(98.8967)
tensor(90.6583),tensor(99.1050)
tensor(90.6683),tensor(99.2383)
tensor(90.7700),tensor(99.3717)
tensor(90.7900),tensor(99.4600)
tensor(90.7800),tensor(99.5167)
tensor(90.8067),tensor(99.5517)
tensor(90.7550),tensor(99.6083)
tensor(90.7450),tensor(99.5700)
tensor(90.7617),tensor(99.5917)
tensor(90.7167),tensor(99.6367)
tensor(90.7133),tensor(99.6217)
tensor(90.7183),tensor(99.6333)
tensor(90.6933),tensor(99.6400)
tensor(90.6917),tensor(99.6533)
tensor(90.6350),tensor(99.6633)
tensor(90.6383),tensor(99.6617)
tensor(90.6583),tensor(99.6833)
tensor(90.6667),tensor(99.6833)
tensor(90.6483),tensor(99.6650)
tensor(90.6350),tensor(99.6750)
tensor(90.6250),tensor(99.6867)
tensor(90.6233),tensor(99.6500)
tensor(90.6117),tensor(99.6767)
tensor(90.6433),tensor(99.6850)
tensor(90.6417),tensor(99.6683)
tensor(90.6183),tensor(99.6883)
tensor(90.6133),tensor(99.6783)
tensor(90.6083),tensor(99.6967)
tensor(90.6433),tensor(99.6883)
tensor(90.6183),tensor(99.6917)
tensor(90.6200),tensor(99.7333)
tensor(90.6483),tensor(99.7117)
tensor(90.6533),tensor(99.7017)
tensor(90.6533),tensor(99.6800)
tensor(90.6167),tensor(99.7450)
tensor(90.6533),tensor(99.7083)
tensor(90.6383),tensor(99.7117)
tensor(90.6583),tensor(99.7033)
tensor(90.5950),tensor(99.6933)
tensor(90.6717),tensor(99.7633)
tensor(90.6450),tensor(99.7017)
tensor(90.6367),tensor(99.7017)
tensor(90.6483),tensor(99.6883)
tensor(90.6600),tensor(99.7217)
tensor(90.6117),tensor(99.7283)
tensor(90.6467),tensor(99.7167)
tensor(90.6517),tensor(99.7217)
tensor(90.6067),tensor(99.7317)
tensor(90.6200),tensor(99.7100)
tensor(90.6217),tensor(99.7300)
tensor(90.6217),tensor(99.7483)
tensor(90.6317),tensor(99.7350)
tensor(90.6150),tensor(99.7050)
tensor(90.5867),tensor(99.7083)
tensor(90.6133),tensor(99.7450)
tensor(90.6033),tensor(99.7350)
tensor(90.6000),tensor(99.7417)
tensor(90.6183),tensor(99.7317)
tensor(90.6250),tensor(99.7283)
tensor(90.5850),tensor(99.6950)
tensor(90.6200),tensor(99.7517)
tensor(90.5850),tensor(99.7400)
tensor(90.6033),tensor(99.7550)
tensor(90.6183),tensor(99.6783)
tensor(90.5833),tensor(99.7200)
tensor(90.6167),tensor(99.7283)
tensor(90.5683),tensor(99.7300)
tensor(90.5733),tensor(99.7333)
tensor(90.5900),tensor(99.7317)
tensor(90.5917),tensor(99.7067)
tensor(90.5883),tensor(99.7033)
tensor(90.5683),tensor(99.7433)
tensor(90.5633),tensor(99.7050)
tensor(90.5783),tensor(99.7700)
tensor(90.5733),tensor(99.7100)
tensor(90.6283),tensor(99.7167)
tensor(90.5317),tensor(99.7500)
tensor(90.5633),tensor(99.7417)
tensor(90.5933),tensor(99.7267)
tensor(90.5650),tensor(99.7067)
tensor(90.5833),tensor(99.7517)
tensor(90.5583),tensor(99.7683)
tensor(90.5417),tensor(99.6850)
tensor(90.5600),tensor(99.7450)
tensor(90.5483),tensor(99.7300)
tensor(90.5750),tensor(99.6750)
tensor(90.5300),tensor(99.7400)
tensor(90.5667),tensor(99.7283)
tensor(90.5083),tensor(99.7500)
tensor(90.5233),tensor(99.7267)
tensor(90.5083),tensor(99.7267)
tensor(90.5317),tensor(99.7367)
tensor(90.4883),tensor(99.7100)
tensor(90.5200),tensor(99.7183)
tensor(90.4683),tensor(99.7350)
tensor(90.5117),tensor(99.7283)
