Adam,AdamW
tensor(94.2750),tensor(94.3150)
tensor(98.1617),tensor(98.1367)
tensor(98.6417),tensor(98.6533)
tensor(98.9750),tensor(98.9567)
tensor(99.2283),tensor(99.1567)
tensor(99.3783),tensor(99.3400)
tensor(99.5267),tensor(99.4833)
tensor(99.6383),tensor(99.6000)
tensor(99.6900),tensor(99.6667)
tensor(99.7100),tensor(99.7233)
tensor(99.7267),tensor(99.7500)
tensor(99.7817),tensor(99.7483)
tensor(99.7650),tensor(99.8000)
tensor(99.7617),tensor(99.7967)
tensor(99.8183),tensor(99.8383)
tensor(99.8750),tensor(99.8800)
tensor(99.8333),tensor(99.8350)
tensor(99.8783),tensor(99.8367)
tensor(99.8633),tensor(99.8967)
tensor(99.9067),tensor(99.8783)
tensor(99.9000),tensor(99.8917)
tensor(99.8417),tensor(99.9083)
tensor(99.9000),tensor(99.8917)
tensor(99.9150),tensor(99.9000)
tensor(99.9283),tensor(99.9067)
tensor(99.8650),tensor(99.9667)
tensor(99.9367),tensor(99.8750)
tensor(99.9317),tensor(99.9300)
tensor(99.8933),tensor(99.9183)
tensor(99.9583),tensor(99.9267)
tensor(99.8900),tensor(99.9067)
tensor(99.9433),tensor(99.9350)
tensor(99.9600),tensor(99.9933)
tensor(99.8867),tensor(99.8667)
tensor(99.9417),tensor(99.9900)
tensor(99.9667),tensor(99.9350)
tensor(99.9267),tensor(99.9300)
tensor(99.9017),tensor(99.9333)
tensor(99.9450),tensor(99.9800)
tensor(99.9267),tensor(99.9967)
tensor(99.9883),tensor(100.)
tensor(99.8900),tensor(100.)
tensor(99.9233),tensor(100.)
tensor(99.9867),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(99.8050),tensor(100.)
tensor(99.9417),tensor(100.)
tensor(99.9717),tensor(100.)
tensor(99.9467),tensor(100.)
tensor(99.9650),tensor(100.)
tensor(99.9950),tensor(100.)
tensor(99.9000),tensor(100.)
tensor(99.9300),tensor(100.)
tensor(99.9950),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(99.8200),tensor(100.)
tensor(99.9333),tensor(100.)
tensor(99.9667),tensor(100.)
tensor(99.9917),tensor(100.)
tensor(99.9217),tensor(99.8050)
tensor(99.9750),tensor(99.9350)
tensor(99.9917),tensor(99.9617)
tensor(99.9650),tensor(99.9883)
tensor(99.9400),tensor(99.9200)
tensor(99.9350),tensor(99.9283)
tensor(99.9483),tensor(99.9700)
tensor(99.9483),tensor(99.9200)
tensor(99.9667),tensor(99.9367)
tensor(99.9617),tensor(99.9250)
tensor(99.9833),tensor(99.9467)
tensor(100.),tensor(99.9900)
tensor(100.),tensor(99.9483)
tensor(100.),tensor(99.9417)
tensor(100.),tensor(99.9400)
tensor(100.),tensor(99.9333)
tensor(100.),tensor(99.9683)
tensor(100.),tensor(99.9883)
tensor(99.8000),tensor(99.9350)
tensor(99.9600),tensor(99.9600)
tensor(99.9833),tensor(99.9517)
tensor(100.),tensor(99.9250)
tensor(100.),tensor(99.9600)
tensor(100.),tensor(99.9917)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(99.8967),tensor(100.)
tensor(99.9100),tensor(100.)
tensor(99.9817),tensor(100.)
tensor(99.9900),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
