Adam,AdamW
tensor(81.9333),tensor(82.1883)
tensor(92.5300),tensor(93.9500)
tensor(94.7217),tensor(95.8333)
tensor(95.8117),tensor(96.7217)
tensor(96.3733),tensor(97.1900)
tensor(96.6550),tensor(97.5300)
tensor(96.8800),tensor(97.7750)
tensor(97.0133),tensor(97.9350)
tensor(97.1133),tensor(98.1300)
tensor(97.1750),tensor(98.2733)
tensor(97.2367),tensor(98.3933)
tensor(97.2767),tensor(98.4933)
tensor(97.3200),tensor(98.5667)
tensor(97.3650),tensor(98.6300)
tensor(97.3950),tensor(98.7033)
tensor(97.4050),tensor(98.7650)
tensor(97.4300),tensor(98.8150)
tensor(97.4567),tensor(98.8650)
tensor(97.4700),tensor(98.9033)
tensor(97.4800),tensor(98.9450)
tensor(97.5000),tensor(98.9933)
tensor(97.5100),tensor(99.0317)
tensor(97.5267),tensor(99.0767)
tensor(97.5333),tensor(99.0950)
tensor(97.5333),tensor(99.1233)
tensor(97.5383),tensor(99.1517)
tensor(97.5483),tensor(99.1767)
tensor(97.5567),tensor(99.2117)
tensor(97.5700),tensor(99.2433)
tensor(97.5800),tensor(99.2717)
tensor(97.5817),tensor(99.3000)
tensor(97.5800),tensor(99.3367)
tensor(97.5883),tensor(99.3683)
tensor(97.5917),tensor(99.3967)
tensor(97.5900),tensor(99.4117)
tensor(97.5983),tensor(99.4317)
tensor(97.6083),tensor(99.4483)
tensor(97.6167),tensor(99.4717)
tensor(97.6183),tensor(99.4933)
tensor(97.6217),tensor(99.5017)
tensor(97.6250),tensor(99.5167)
tensor(97.6250),tensor(99.5350)
tensor(97.6333),tensor(99.5533)
tensor(97.6317),tensor(99.5683)
tensor(97.6433),tensor(99.5883)
tensor(97.6450),tensor(99.6117)
tensor(97.6467),tensor(99.6300)
tensor(97.6467),tensor(99.6500)
tensor(97.6583),tensor(99.6667)
tensor(97.6617),tensor(99.6817)
tensor(97.6600),tensor(99.7083)
tensor(97.6667),tensor(99.7283)
tensor(97.6633),tensor(99.7433)
tensor(97.6650),tensor(99.7583)
tensor(97.6683),tensor(99.7683)
tensor(97.6717),tensor(99.7800)
tensor(97.6717),tensor(99.7933)
tensor(97.6700),tensor(99.8117)
tensor(97.6683),tensor(99.8233)
tensor(97.6667),tensor(99.8367)
tensor(97.6700),tensor(99.8483)
tensor(97.6700),tensor(99.8650)
tensor(97.6717),tensor(99.8683)
tensor(97.6750),tensor(99.8750)
tensor(97.6683),tensor(99.8883)
tensor(97.6717),tensor(99.8967)
tensor(97.6733),tensor(99.9033)
tensor(97.6750),tensor(99.9100)
tensor(97.6750),tensor(99.9183)
tensor(97.6733),tensor(99.9200)
tensor(97.6800),tensor(99.9233)
tensor(97.6817),tensor(99.9283)
tensor(97.6867),tensor(99.9283)
tensor(97.6933),tensor(99.9350)
tensor(97.6917),tensor(99.9367)
tensor(97.6917),tensor(99.9417)
tensor(97.6933),tensor(99.9433)
tensor(97.6933),tensor(99.9483)
tensor(97.6950),tensor(99.9567)
tensor(97.6967),tensor(99.9600)
tensor(97.7017),tensor(99.9600)
tensor(97.7050),tensor(99.9617)
tensor(97.7033),tensor(99.9617)
tensor(97.7033),tensor(99.9650)
tensor(97.7033),tensor(99.9667)
tensor(97.7117),tensor(99.9683)
tensor(97.7100),tensor(99.9700)
tensor(97.7100),tensor(99.9717)
tensor(97.7133),tensor(99.9717)
tensor(97.7100),tensor(99.9750)
tensor(97.7117),tensor(99.9767)
tensor(97.7083),tensor(99.9817)
tensor(97.7117),tensor(99.9867)
tensor(97.7100),tensor(99.9867)
tensor(97.7117),tensor(99.9883)
tensor(97.7117),tensor(99.9883)
tensor(97.7117),tensor(99.9883)
tensor(97.7133),tensor(99.9883)
tensor(97.7117),tensor(99.9917)
tensor(97.7050),tensor(99.9933)
