Adam,AdamW
tensor(84.1983),tensor(84.3233)
tensor(94.2483),tensor(94.1967)
tensor(95.8533),tensor(95.8867)
tensor(96.6400),tensor(96.7633)
tensor(97.1450),tensor(97.2567)
tensor(97.4517),tensor(97.6183)
tensor(97.6800),tensor(97.8700)
tensor(97.8800),tensor(98.0750)
tensor(98.0633),tensor(98.2400)
tensor(98.2017),tensor(98.3617)
tensor(98.3400),tensor(98.4700)
tensor(98.4300),tensor(98.5417)
tensor(98.5000),tensor(98.6250)
tensor(98.5767),tensor(98.7050)
tensor(98.6283),tensor(98.7483)
tensor(98.6750),tensor(98.8017)
tensor(98.7367),tensor(98.8717)
tensor(98.7850),tensor(98.9183)
tensor(98.8333),tensor(98.9450)
tensor(98.8667),tensor(98.9800)
tensor(98.9017),tensor(99.0117)
tensor(98.9533),tensor(99.0483)
tensor(98.9933),tensor(99.0750)
tensor(99.0250),tensor(99.1250)
tensor(99.0567),tensor(99.1567)
tensor(99.0917),tensor(99.1900)
tensor(99.1217),tensor(99.2200)
tensor(99.1583),tensor(99.2567)
tensor(99.1833),tensor(99.2817)
tensor(99.2067),tensor(99.3050)
tensor(99.2350),tensor(99.3267)
tensor(99.2650),tensor(99.3550)
tensor(99.2900),tensor(99.3883)
tensor(99.3067),tensor(99.4100)
tensor(99.3317),tensor(99.4217)
tensor(99.3567),tensor(99.4467)
tensor(99.3767),tensor(99.4700)
tensor(99.3983),tensor(99.4833)
tensor(99.4267),tensor(99.5083)
tensor(99.4517),tensor(99.5350)
tensor(99.4783),tensor(99.5483)
tensor(99.4933),tensor(99.5633)
tensor(99.5017),tensor(99.5867)
tensor(99.5200),tensor(99.6000)
tensor(99.5350),tensor(99.6250)
tensor(99.5550),tensor(99.6350)
tensor(99.5667),tensor(99.6533)
tensor(99.5817),tensor(99.6717)
tensor(99.6000),tensor(99.6917)
tensor(99.6217),tensor(99.7033)
tensor(99.6417),tensor(99.7267)
tensor(99.6633),tensor(99.7400)
tensor(99.6867),tensor(99.7550)
tensor(99.6983),tensor(99.7683)
tensor(99.7133),tensor(99.7783)
tensor(99.7217),tensor(99.7917)
tensor(99.7283),tensor(99.8033)
tensor(99.7350),tensor(99.8117)
tensor(99.7433),tensor(99.8233)
tensor(99.7517),tensor(99.8417)
tensor(99.7600),tensor(99.8567)
tensor(99.7733),tensor(99.8633)
tensor(99.7917),tensor(99.8750)
tensor(99.8033),tensor(99.8817)
tensor(99.8117),tensor(99.8933)
tensor(99.8183),tensor(99.9050)
tensor(99.8317),tensor(99.9100)
tensor(99.8367),tensor(99.9133)
tensor(99.8433),tensor(99.9267)
tensor(99.8550),tensor(99.9367)
tensor(99.8700),tensor(99.9400)
tensor(99.8750),tensor(99.9417)
tensor(99.8783),tensor(99.9500)
tensor(99.8850),tensor(99.9550)
tensor(99.8933),tensor(99.9567)
tensor(99.8967),tensor(99.9583)
tensor(99.9033),tensor(99.9617)
tensor(99.9067),tensor(99.9633)
tensor(99.9100),tensor(99.9633)
tensor(99.9117),tensor(99.9667)
tensor(99.9200),tensor(99.9683)
tensor(99.9283),tensor(99.9717)
tensor(99.9333),tensor(99.9767)
tensor(99.9350),tensor(99.9783)
tensor(99.9400),tensor(99.9817)
tensor(99.9383),tensor(99.9833)
tensor(99.9417),tensor(99.9867)
tensor(99.9417),tensor(99.9867)
tensor(99.9450),tensor(99.9900)
tensor(99.9483),tensor(99.9933)
tensor(99.9517),tensor(99.9950)
tensor(99.9550),tensor(99.9950)
tensor(99.9583),tensor(99.9967)
tensor(99.9600),tensor(99.9967)
tensor(99.9617),tensor(99.9967)
tensor(99.9633),tensor(99.9983)
tensor(99.9650),tensor(100.)
tensor(99.9683),tensor(99.9967)
tensor(99.9717),tensor(99.9367)
tensor(99.9733),tensor(99.9833)
