Adam,AdamW
0.6861507251525103,0.6828553358287509
0.19184952367371175,0.20325242748249694
0.13727552906127533,0.14372490977209165
0.11023082138339022,0.11404763312309361
0.09424914616191866,0.09639486793040443
0.0835080047675184,0.08445379793716432
0.07570914697991227,0.07562456729941999
0.06978408508633238,0.06884026355760446
0.06514836818938936,0.06340017486145215
0.06139328270785209,0.05896733699963172
0.05830570178996049,0.05524319046098036
0.055715102358842326,0.05206468885765472
0.05349238010593501,0.04932264565595183
0.05157338167408676,0.046891659337740296
0.0498858175213401,0.044743674401410305
0.048395126665841094,0.042788136079147866
0.04705915792531439,0.04100241376674607
0.045839817112888585,0.039373389007322596
0.04473417401408106,0.03785764956207045
0.043709499386029006,0.03646245019251371
0.04277301894742618,0.0351635493779754
0.041906655153834516,0.03392814823391183
0.04109115186117605,0.032787915419888694
0.04034118304664055,0.03169848445128637
0.03963283958734631,0.030673351008886858
0.03896635338534484,0.029689546571602658
0.03834004793148577,0.028757559393177867
0.03774280708828278,0.027861207645614325
0.037183636872183234,0.026998963510129984
0.036643330168141836,0.026167161212161755
0.03613304556080593,0.02537382407404824
0.03564718495947676,0.024601322803847383
0.03518370660410366,0.023854138509600362
0.03474394000023166,0.02313553167110893
0.03432168141768219,0.022435145391385754
0.0339141994606637,0.021762840968947275
0.033522853476262444,0.02110286233848479
0.03314983733690906,0.020469435903659863
0.032789284787101074,0.019848324682584705
0.03244118022613043,0.01924248663942205
0.03210613354784883,0.018650045183726833
0.03178101257140091,0.01807666472486046
0.03146814316396228,0.017518372644690413
0.031165732708543656,0.016975089921546515
0.030879340326683574,0.016441195807828504
0.030597907740241494,0.015924494273535574
0.030324303473694438,0.015423836328281391
0.030057883244501784,0.014919608555043361
0.029803566805244402,0.014428975613295083
0.029556380464138884,0.013955585635935066
0.02931672241755956,0.013500181710142162
0.029087972893406436,0.013052069162777716
0.028865027213918426,0.012601274046277262
0.028652982390944912,0.012167220555196326
0.028439741867069684,0.011741786793494096
0.028235404777327187,0.011332392121193809
0.028036657291910558,0.01092840119696675
0.02784127610523243,0.010529337973078663
0.02765112497316582,0.010148834597107928
0.02747393496726617,0.009771899846421921
0.027286657085822178,0.009402936696138618
0.02711038180828732,0.009045314457190605
0.02694276861985078,0.0086915117714992
0.02677632309378498,0.008349039954882677
0.02661370473166333,0.00801902989160575
0.026454138754488977,0.007698084826802042
0.026300195028164188,0.007382831676214162
0.026154826484076472,0.007078308207887286
0.026010800391960114,0.006772568557865799
0.025868282571199414,0.006481144295483353
0.025732898162983193,0.006199180643329831
0.025597845865867788,0.0059218076238928075
0.02546503540894974,0.005652888364225032
0.025341391375047345,0.00539942896772876
0.025220312978148952,0.005147253849962169
0.02510156185623866,0.00490572868851681
0.024982813696217125,0.004670278998648199
0.0248718792566412,0.004445845989221343
0.02475941202914549,0.004224390891114526
0.024654857030184045,0.004018083401076797
0.024543757760257617,0.003811522904999786
0.024441257454958787,0.003615142082211264
0.024344183011305656,0.003427804677258299
0.02424065688853837,0.003244187016036661
0.024145050337685815,0.0030679675278404224
0.024047405180793856,0.002906211588174495
0.023953459813628893,0.0027460380397961023
0.023862001921780267,0.0025981903600422606
0.023777886427153817,0.002457299755036441
0.023686282596753677,0.0023145870420009525
0.023600959061418594,0.0021826014533812155
0.02351630173435783,0.0020582289844077815
0.023439518322686363,0.0019398234537646825
0.02336254367582636,0.0018190218091556892
0.023281452253705134,0.0017118391585137127
0.023209879802577674,0.001629002414029146
0.023135842553602765,0.0015585497077669817
0.023064335663321375,0.0014404874521535649
0.022996674670697822,0.0025353634100271118
0.022920431251682815,0.0032282632582476575
