Adam,AdamW
tensor(95.2933),tensor(95.2067)
tensor(98.3250),tensor(98.2933)
tensor(98.8267),tensor(98.7900)
tensor(99.1300),tensor(99.1050)
tensor(99.3700),tensor(99.3400)
tensor(99.5350),tensor(99.5217)
tensor(99.6317),tensor(99.5900)
tensor(99.6583),tensor(99.6283)
tensor(99.7000),tensor(99.7267)
tensor(99.7583),tensor(99.7117)
tensor(99.7600),tensor(99.7500)
tensor(99.8000),tensor(99.7733)
tensor(99.7967),tensor(99.8017)
tensor(99.8200),tensor(99.8200)
tensor(99.8433),tensor(99.8350)
tensor(99.8167),tensor(99.8117)
tensor(99.8900),tensor(99.8667)
tensor(99.8350),tensor(99.8500)
tensor(99.8483),tensor(99.8767)
tensor(99.8550),tensor(99.8567)
tensor(99.8683),tensor(99.8267)
tensor(99.8967),tensor(99.8867)
tensor(99.8350),tensor(99.8783)
tensor(99.9100),tensor(99.9067)
tensor(99.9050),tensor(99.9183)
tensor(99.8983),tensor(99.8983)
tensor(99.8700),tensor(99.8717)
tensor(99.8917),tensor(99.9200)
tensor(99.9200),tensor(99.8767)
tensor(99.9067),tensor(99.9533)
tensor(99.9033),tensor(99.8783)
tensor(99.8900),tensor(99.9350)
tensor(99.9000),tensor(99.9183)
tensor(99.9350),tensor(99.9100)
tensor(99.9200),tensor(99.9100)
tensor(99.9050),tensor(99.9183)
tensor(99.9050),tensor(99.9217)
tensor(99.9083),tensor(99.9183)
tensor(99.8917),tensor(99.9300)
tensor(99.9167),tensor(99.9517)
tensor(99.9183),tensor(99.9300)
tensor(99.8850),tensor(99.9117)
tensor(99.9167),tensor(99.9417)
tensor(99.9067),tensor(99.9350)
tensor(99.9600),tensor(99.9483)
tensor(99.9100),tensor(99.9367)
tensor(99.9183),tensor(99.9650)
tensor(99.9217),tensor(99.9150)
tensor(99.9667),tensor(99.9233)
tensor(99.9067),tensor(99.9400)
tensor(99.9167),tensor(99.9433)
tensor(99.9317),tensor(99.9533)
tensor(99.9350),tensor(99.9233)
tensor(99.9183),tensor(99.9217)
tensor(99.9533),tensor(99.9817)
tensor(99.9417),tensor(99.9317)
tensor(99.9383),tensor(99.9683)
tensor(99.9017),tensor(99.9333)
tensor(99.9450),tensor(99.9550)
tensor(99.9333),tensor(99.9417)
tensor(99.9733),tensor(99.9833)
tensor(99.8600),tensor(99.9400)
tensor(99.9683),tensor(99.9467)
tensor(99.9417),tensor(99.9667)
tensor(99.9167),tensor(99.9467)
tensor(99.9417),tensor(99.9367)
tensor(99.9383),tensor(99.9883)
tensor(99.9133),tensor(99.9217)
tensor(99.9300),tensor(99.9700)
tensor(99.9517),tensor(99.9667)
tensor(99.9417),tensor(99.9400)
tensor(99.9367),tensor(99.9233)
tensor(99.9533),tensor(99.9450)
tensor(99.9367),tensor(99.9617)
tensor(99.9517),tensor(99.9533)
tensor(99.9567),tensor(99.9533)
tensor(99.9283),tensor(99.9467)
tensor(99.9250),tensor(99.9583)
tensor(99.9583),tensor(99.9233)
tensor(99.9333),tensor(99.9633)
tensor(99.9750),tensor(99.9633)
tensor(99.9267),tensor(99.9600)
tensor(99.9783),tensor(99.9550)
tensor(99.9283),tensor(99.9650)
tensor(99.9717),tensor(99.9567)
tensor(99.9317),tensor(99.9417)
tensor(99.9400),tensor(99.9583)
tensor(99.9533),tensor(99.9700)
tensor(99.9617),tensor(99.9500)
tensor(99.9367),tensor(99.9650)
tensor(99.9450),tensor(99.9833)
tensor(99.9583),tensor(99.9283)
tensor(99.9367),tensor(99.9883)
tensor(99.9350),tensor(99.9517)
tensor(99.9533),tensor(99.9500)
tensor(99.9650),tensor(99.9567)
tensor(99.9433),tensor(99.9417)
tensor(99.9033),tensor(99.9800)
tensor(99.9750),tensor(99.9717)
tensor(99.8867),tensor(99.9600)
