Adam,AdamW
tensor(93.7517),tensor(94.4083)
tensor(97.8317),tensor(98.1050)
tensor(98.2667),tensor(98.6317)
tensor(98.5183),tensor(98.9383)
tensor(98.6617),tensor(99.1933)
tensor(98.7417),tensor(99.3350)
tensor(98.8083),tensor(99.4850)
tensor(98.8783),tensor(99.5783)
tensor(98.9217),tensor(99.6433)
tensor(98.9350),tensor(99.7017)
tensor(98.9517),tensor(99.7167)
tensor(98.9883),tensor(99.7667)
tensor(98.9983),tensor(99.7800)
tensor(99.0233),tensor(99.8050)
tensor(99.0100),tensor(99.8333)
tensor(99.0283),tensor(99.8250)
tensor(99.0400),tensor(99.8267)
tensor(99.0533),tensor(99.8167)
tensor(99.0617),tensor(99.8933)
tensor(99.0667),tensor(99.9050)
tensor(99.0650),tensor(99.8750)
tensor(99.0633),tensor(99.8650)
tensor(99.0817),tensor(99.9183)
tensor(99.0783),tensor(99.9117)
tensor(99.0983),tensor(99.8900)
tensor(99.0950),tensor(99.8933)
tensor(99.0883),tensor(99.8983)
tensor(99.0967),tensor(99.9050)
tensor(99.1017),tensor(99.9583)
tensor(99.1133),tensor(99.8700)
tensor(99.1167),tensor(99.9383)
tensor(99.1000),tensor(99.8900)
tensor(99.1267),tensor(99.9250)
tensor(99.1383),tensor(99.9450)
tensor(99.1250),tensor(99.9317)
tensor(99.1117),tensor(99.9017)
tensor(99.1267),tensor(99.9583)
tensor(99.1050),tensor(99.9100)
tensor(99.1167),tensor(99.9117)
tensor(99.1300),tensor(99.9767)
tensor(99.1233),tensor(99.9250)
tensor(99.1267),tensor(99.9567)
tensor(99.1267),tensor(99.9967)
tensor(99.1317),tensor(100.)
tensor(99.1217),tensor(100.)
tensor(99.1467),tensor(100.)
tensor(99.1600),tensor(100.)
tensor(99.1550),tensor(100.)
tensor(99.1550),tensor(100.)
tensor(99.1483),tensor(100.)
tensor(99.1667),tensor(100.)
tensor(99.1400),tensor(100.)
tensor(99.1433),tensor(100.)
tensor(99.1667),tensor(100.)
tensor(99.1567),tensor(100.)
tensor(99.1733),tensor(100.)
tensor(99.1667),tensor(100.)
tensor(99.1583),tensor(100.)
tensor(99.1600),tensor(100.)
tensor(99.1600),tensor(100.)
tensor(99.1517),tensor(100.)
tensor(99.1350),tensor(100.)
tensor(99.1883),tensor(100.)
tensor(99.1667),tensor(100.)
tensor(99.1567),tensor(100.)
tensor(99.1683),tensor(100.)
tensor(99.1750),tensor(100.)
tensor(99.1733),tensor(100.)
tensor(99.1750),tensor(100.)
tensor(99.1867),tensor(100.)
tensor(99.1867),tensor(99.8800)
tensor(99.1733),tensor(99.8783)
tensor(99.1667),tensor(99.9667)
tensor(99.1850),tensor(99.9483)
tensor(99.1850),tensor(99.9400)
tensor(99.1867),tensor(99.9650)
tensor(99.1767),tensor(99.9517)
tensor(99.1833),tensor(99.8950)
tensor(99.1700),tensor(99.9600)
tensor(99.1767),tensor(99.9617)
tensor(99.2000),tensor(99.9200)
tensor(99.1900),tensor(100.)
tensor(99.2000),tensor(100.)
tensor(99.2050),tensor(100.)
tensor(99.1733),tensor(100.)
tensor(99.1800),tensor(100.)
tensor(99.2050),tensor(100.)
tensor(99.2067),tensor(100.)
tensor(99.1867),tensor(100.)
tensor(99.2000),tensor(100.)
tensor(99.1967),tensor(100.)
tensor(99.1850),tensor(100.)
tensor(99.1817),tensor(100.)
tensor(99.1917),tensor(100.)
tensor(99.1967),tensor(100.)
tensor(99.2017),tensor(100.)
tensor(99.2033),tensor(100.)
tensor(99.1933),tensor(100.)
tensor(99.1833),tensor(100.)
tensor(99.1983),tensor(100.)
