Adam,Adam w/o bias correction,Adam w/ L2 regularization,AdamW weight decay
2.1205835463141582,1.7269991036417134,2.0655898875010803,2.0580655249959623
1.4664769246379958,0.8381233939420439,1.2024280240159553,1.2995986430121382
0.8833656023496758,0.5566996717726244,0.685545516214264,0.7542256356747166
0.6234471546625023,0.4439782347601614,0.5041668592199587,0.5309239072935668
0.5011599385249081,0.38402577909007507,0.41820998068875087,0.4240247043433474
0.4317409016176073,0.3459246659766573,0.3679325171768157,0.36241273942596114
0.38632823902565533,0.31854673373356046,0.33417885875635184,0.32202691715885834
0.35357462645752596,0.29707473241237564,0.30918559745383034,0.2928986402669314
0.32818299269418855,0.27922986342168565,0.2890925602649829,0.27034771449164924
0.3074706438055107,0.26377680458660635,0.2723852808215915,0.2520073948960219
0.28990680675532643,0.25008367273662646,0.2582340169269075,0.23653184066512692
0.274594538350667,0.2378061663891588,0.2460252509784025,0.2231483128386488
0.2609744192655089,0.22671367996521213,0.2353438354019862,0.21136751965776499
0.24868595863638848,0.21660577288584543,0.2258795387288337,0.20086860868023404
0.2374731364157567,0.20734944658230808,0.21742016564347724,0.19142590366653414
0.22708547305561969,0.19884004996124424,0.20981142372448944,0.18286952863473183
0.2173807067729072,0.19099496016457582,0.20292007436813003,0.17506050408931015
0.20838145888460152,0.18374318609645626,0.1966487561711974,0.16790271870124696
0.2000292861270212,0.177021106258273,0.19092557650170663,0.16131758393406043
0.1922364493430868,0.17077518490923524,0.1856852421985824,0.15524380764306417
0.18494170664676599,0.16496023252558734,0.18086882700710727,0.14962813536574973
0.1780944838822047,0.159537194812023,0.17642722397780558,0.14442945383628136
0.1716673079191018,0.15447010377100281,0.1723264621447589,0.13960896114975627
0.1656221883433031,0.14972508620462818,0.1685437511053008,0.1351304303294719
0.1599319694099078,0.14527382945983427,0.1650414295605759,0.13096273483396736
0.15457922293901888,0.1410893202304586,0.1617739157481139,0.12708028277624517
0.14954141410353627,0.1371492815654733,0.15872317037062605,0.12345388585697613
0.14479439995233725,0.13343485210762063,0.15587344951927662,0.12006329977487736
0.14032453972933642,0.12992545679362535,0.15320809951413478,0.1168885552254853
0.13611427883305816,0.12660735045154609,0.15071511170717636,0.11391113851684084
0.13214070031316136,0.12346561430002263,0.1483802320812938,0.11111587724501469
0.12838933998142987,0.12048749722190884,0.1461843830813318,0.10848776970122224
0.12485104514512299,0.11766161856803495,0.14411552857631432,0.10601151420889712
0.12151192507144612,0.11497627945938535,0.1421646026354323,0.10367422820483921
0.11835762996997025,0.11242192878084047,0.14032710963752923,0.10146549064169592
0.11537655377323662,0.10999245604307556,0.13859806408577446,0.09937643740417511
0.11256078645976177,0.10767651020960291,0.1369608474085167,0.0973976028830941
0.1099006105259037,0.10546449153199554,0.1354077901961262,0.09552209388150938
