Adam,Adam w/o bias correction
tensor(93.9833),tensor(96.0833)
tensor(98.0183),tensor(98.5383)
tensor(98.5700),tensor(98.9050)
tensor(98.9067),tensor(99.1317)
tensor(99.1133),tensor(99.3417)
tensor(99.2950),tensor(99.4817)
tensor(99.4167),tensor(99.5867)
tensor(99.5450),tensor(99.6750)
tensor(99.6417),tensor(99.7000)
tensor(99.6633),tensor(99.7417)
tensor(99.7067),tensor(99.7550)
tensor(99.7700),tensor(99.7750)
tensor(99.7217),tensor(99.8050)
tensor(99.8050),tensor(99.8433)
tensor(99.7883),tensor(99.8050)
tensor(99.8400),tensor(99.8367)
tensor(99.8650),tensor(99.8700)
tensor(99.8967),tensor(99.8700)
tensor(99.8467),tensor(99.8383)
tensor(99.8383),tensor(99.8983)
tensor(99.8617),tensor(99.8983)
tensor(99.9100),tensor(99.8567)
tensor(99.8933),tensor(99.9333)
tensor(99.9383),tensor(99.8667)
tensor(99.8367),tensor(99.9533)
tensor(99.8933),tensor(99.8950)
tensor(99.9233),tensor(99.9317)
tensor(99.9033),tensor(99.8667)
tensor(99.9250),tensor(99.9100)
tensor(99.9517),tensor(99.9417)
tensor(99.8817),tensor(99.9450)
tensor(99.9150),tensor(99.9567)
tensor(99.9350),tensor(99.8833)
tensor(99.9533),tensor(99.9600)
tensor(99.9550),tensor(99.9600)
tensor(99.8933),tensor(99.9400)
tensor(99.9767),tensor(99.9283)
tensor(99.9150),tensor(99.9133)
tensor(99.9017),tensor(99.8917)
tensor(99.9567),tensor(99.9500)
tensor(99.9017),tensor(99.9733)
tensor(99.9550),tensor(99.9200)
tensor(99.9450),tensor(99.9200)
tensor(99.9533),tensor(99.9517)
tensor(99.9633),tensor(99.9833)
tensor(99.9250),tensor(99.9267)
tensor(99.9033),tensor(99.9200)
tensor(99.9683),tensor(99.9717)
tensor(99.9733),tensor(99.9567)
tensor(99.9383),tensor(99.9100)
tensor(99.9667),tensor(99.9500)
tensor(99.9283),tensor(99.9600)
tensor(99.9483),tensor(99.9333)
tensor(99.9783),tensor(99.9700)
tensor(99.9383),tensor(99.9433)
tensor(99.9317),tensor(99.9883)
tensor(99.9600),tensor(99.9417)
tensor(99.9667),tensor(99.9150)
tensor(99.9633),tensor(99.9950)
tensor(99.9317),tensor(100.)
tensor(99.9450),tensor(100.)
tensor(99.9933),tensor(100.)
tensor(99.9483),tensor(100.)
tensor(99.9317),tensor(100.)
tensor(99.9883),tensor(100.)
tensor(99.9550),tensor(100.)
tensor(99.9217),tensor(100.)
tensor(99.9733),tensor(100.)
tensor(99.9767),tensor(100.)
tensor(99.9717),tensor(100.)
tensor(99.9633),tensor(100.)
tensor(99.9483),tensor(100.)
tensor(99.9683),tensor(100.)
tensor(99.9583),tensor(100.)
tensor(99.9600),tensor(100.)
tensor(99.9750),tensor(100.)
tensor(99.9717),tensor(100.)
tensor(99.9467),tensor(100.)
tensor(99.9883),tensor(100.)
tensor(99.9283),tensor(99.8383)
tensor(99.9617),tensor(99.9417)
tensor(99.9767),tensor(99.9733)
tensor(99.9950),tensor(99.9467)
tensor(99.9967),tensor(99.9683)
tensor(100.),tensor(99.9217)
tensor(100.),tensor(99.9633)
tensor(100.),tensor(99.9783)
tensor(100.),tensor(99.9233)
tensor(100.),tensor(99.9617)
tensor(100.),tensor(99.9517)
tensor(100.),tensor(99.9733)
tensor(100.),tensor(99.9450)
tensor(100.),tensor(99.9383)
tensor(100.),tensor(99.9450)
tensor(100.),tensor(99.9733)
tensor(100.),tensor(99.9567)
tensor(100.),tensor(99.9633)
tensor(100.),tensor(99.9750)
tensor(100.),tensor(99.9917)
tensor(100.),tensor(99.9267)
