Adam,Adam w/o bias correction
2.0803622632646865,1.5256642002795042
1.4006329154663248,0.7707953412713272
0.8327942442601678,0.5444378987876083
0.5863439801659411,0.44258656924657985
0.4702823493304029,0.38342803909675655
0.4032776748844937,0.34388132837773766
0.35857377600456986,0.3146450220783954
0.32559911242680256,0.29162624162206774
0.29992716347199005,0.2726404105207877
0.27906716087543126,0.2564105113316923
0.2614999131512032,0.24218628259260516
0.24632281175196996,0.22952316659314037
0.23294531225141432,0.21813857295850256
0.22099466636570406,0.2078455541568842
0.21022128903948423,0.19847095434242157
0.20042253818029343,0.18989809439269337
0.19135693906109408,0.18202613123249747
0.1830769575544512,0.17477727722503675
0.1754925831723442,0.16808234323372148
0.16855025392716755,0.16187662971930813
0.162167493565711,0.15611526600198386
0.15628358737519904,0.15076669439701224
0.15084444268096261,0.14579926701739176
0.14580593419982107,0.14117914779500954
0.14113102316546605,0.1368678179063173
0.13677986003339354,0.13284623656850825
0.13270802975002763,0.1290924192390351
0.12889876263216138,0.12558005992640883
0.1253297568968078,0.1222879225348454
0.12197883671391875,0.11919783863888335
0.11882661397991849,0.11629351071153543
0.11585984591926847,0.11355676326745831
0.11306736105705487,0.1109735799113364
0.11043188344391344,0.10853447101767986
0.10793913665787577,0.10622585443472032
0.10557796330357999,0.10403776620385616
0.10333624277422741,0.10196139935854831
0.10120403201136587,0.09999040431623012
0.09917319793331582,0.09811266635689558
0.09723514915733879,0.09632043568526646
0.09538602507732777,0.09461019186676344
0.09361776702507123,0.09297546053202009
0.09192330952930346,0.09140954024668758
0.090300221267198,0.08990879133462842
0.08874264668707035,0.08847101250919563
0.08724649592207423,0.0870897969318383
0.085810086471952,0.08576159292845917
0.08442943095108435,0.0844835662585832
0.08309994533117901,0.08325252816754221
0.081817967079973,0.08206514978676097
0.08058291180148673,0.08091878524220893
0.07939218874124171,0.07981307746550596
0.0782447086462477,0.07874622409949814
0.0771366717841929,0.07771523518791633
0.0760661126675406,0.07671838311174674
0.07503037688000672,0.07575377448127349
0.07402709728754214,0.07481953032639449
0.07305622248024718,0.07391419302873703
0.07211607949697037,0.07303644168123143
0.07120472784173974,0.07218480805408702
0.07032097739823806,0.07135811047022865
0.06946133669224511,0.07055429727988823
0.06862666759057157,0.06977232899477105
0.06781559237497432,0.06901185716743638
0.0670272618872739,0.06827152442005374
0.06626209857509231,0.06755051214763247
0.06551892282530618,0.06684784701308494
0.06479777315177762,0.06616331747090662
0.06409591306740645,0.06549648192874007
0.06341219976070776,0.06484559776178543
0.062746714487094,0.06421070669959886
0.06209813305181759,0.0635911410655588
0.06146690311225087,0.06298625991674267
0.06085145783854891,0.06239503909581041
0.06025137698579667,0.06181860449728864
0.05966621618578905,0.06125586147150541
0.05909544516673514,0.06070616713358657
0.058539470092756854,0.060169802520916596
0.05799575103546129,0.059645582658441255
0.057465677112733114,0.05913367103658684
0.056947358974021305,0.05863349692042627
0.056440725889198906,0.05814392985885284
0.05594557039660594,0.05766498384503787
0.05546138918241744,0.057197031537458094
0.054987603805210596,0.05673918994674797
0.054524516313349695,0.056290773650520105
0.05407137257719178,0.05585144676326681
0.05362812460296904,0.0554206464640689
0.05319485126752287,0.05499894018069025
0.0527712025915209,0.05458582736969268
0.05235598203755899,0.054180756369397155
0.05194944328740676,0.05378284560405274
0.05155097420361123,0.05339264977429964
0.0511605859644014,0.05300997957616532
0.050778276248420996,0.05263457373407648
0.050403549391001876,0.052266567319220525
0.0500359102128707,0.05190573197090502
0.049675746610996795,0.05155167831140243
0.04932207730983489,0.051203751677412916
0.04897506773779129,0.05086159981392038
